,0,1
0,best,2
1,fit,2
2,line,4
3,over,1
4,scatter,20
5,plot,43
6,car,3
7,data,18
8,similarity,1
9,matrix,8
10,completion,5
11,percentages,1
12,of,15
13,turkers,1
14,on,1
15,amazon's,1
16,mechanical,12
17,turk,13
18,complition,2
19,distribution,7
20,correlation,2
21,map,3
22,dot,2
23,graph,11
24,dots,1
25,with,1
26,leaf,9
27,node,1
28,linear,4
29,participation,12
30,rates,8
31,neural,2
32,network,2
33,number,1
34,parallel,13
35,coordinates,10
36,automobile,15
37,chart,6
38,probablity,2
39,q-q,5
40,regression,1
41,stem,8
42,and,9
43,trend,2
44,uniform,1
45,comparison,1
46,percentage,1
47,plots,1
48,point,1
49,dont,1
50,know,2
51,scatterplot,6
52,mapping,1
53,frequency,1
54,ranking,1
55,group,3
56,by,2
57,country,1
58,characteristics,1
59,bar-heat,1
60,loom,1
61,/,1
62,weave,1
63,cat,1
64,whisker,1
65,but,1
66,not,1
67,tree,2
68,multi-colinearity,1
69,diagram,1
70,turker,1
71,task,3
72,,1
73,neuro,1
74,algebra,1
75,rate,1
76,"participation
rates",1
77,table,1
78,scatterplots,2
79,i,1
80,don't,1
81,quantile,1
82,turkers',1
83,qq,1
84,idk,1
85,quantile-quantile,1
86,stem-and-leaf,1
87,q-plot,1
