,ImageViewed URL,Task1Naming,Task1Meaning,Task1GroundTruth,Category
0,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,absolute chart,compare positive/negative impact,horizon graph,1
1,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,area chart,,stacked graph,1
2,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,Area Chart,Dorling Cartogram/area chart,,3
3,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,Area Graph,treemap,,4
4,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,area map,,choropleth map,3
5,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,area under curve,,horizon graph,1
6,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,Bar Chart,icicle tree,,4
7,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,Bar chart,icicle tree,,4
8,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,Bar Graph,,Small Multiples,1
9,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,Bar Graph,,Indent Tree,4
10,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,Bar Graph,,Icicle Tree,4
11,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,Best fit line over scatter plot,Q-Q plot,,2
12,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,Bullet point chart,Indented tree,,4
13,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,Car data similarity matrix,Splom / scatterplot matrix,,2
14,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,Categoried-web chart,force-directed layout,,5
15,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,Cell chart,Nested circle,,4
16,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,Chaotic pie graph,sunburst,,4
17,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,Circle chart,Radial node-link diagram / tree,,4
18,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,Circle Graph,,Dorling Cartogram/Area Chart,3
19,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,Circular branch chart,polar coordinates node-link / tree,,4
20,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,Circular tree diagram,polar coordinates node-link / tree,,4
21,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,Comparison Grid,matrix view,,5
