,ImageViewed URL (please copy Column C in the next tab),Image,Task1Naming,Task1Meaning,Task1 Ground Truth,Category,,
0,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,absolute chart,compare positive/negative impact,Horizon Graph,1,,
1,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,area chart,,Stacked Graph,1,,
2,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Area Chart,Dorling Cartogram/area chart,Dorling Cartogram/Area Chart,3,,
3,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Area Graph,treemap,Treemap Layout,4,,
4,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,area map,,Choropleth Map,3,,
5,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,area curve,,Horizon Graph,1,,
6,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,Bar Chart,icicle tree,Icicle Tree,4,,
7,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,Bar chart,icicle tree,Icicle Tree,4,,
8,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Bar Graph,,Small Multiples,1,,
9,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,Bar Graph,,Indented Tree,4,,
10,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,Bar Graph,,Icicle Tree,4,,
11,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Best fit line scatter plot,Q-Q plot,Q-Q plot,2,,
12,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,Bullet point chart,Indented tree,Indented Tree,4,,
13,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Car data similarity matrix,Splom / scatterplot matrix,Splom / scatterplot matrix,2,,
14,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,Categoried-web chart,force-directed layout,force-directed layout,5,,
15,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Cell chart,Nested circle,Nested Circles Tree,4,,
16,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Chaotic pie graph,sunburst,Sunburst Tree,4,,
17,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Circle chart,Radial node-link diagram / tree,Radial Cluster Diagram,4,,
18,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Circle Graph,,Dorling Cartogram/Area Chart,3,,
