VisualizationID,VisualizationLink,ImageLink,Image,VisType,Caption,Team Generated Caption,Category
1A,Index Chart,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Index chart/line chart,Relative magnitude of gains or losses if money invested during the selected reference month. Mouse over a point in the chart to set the reference month.,"A line chart is a type of data visualization that displays information as a series of data points connected by straight lines. Typically, the horizontal axis represents time or categories, while the vertical axis represents numerical values. Line charts are commonly used to illustrate trends or changes in data over time, making them particularly useful for tracking fluctuations in stock prices, temperatures, population growth, and other continuous variables. They provide a clear visual representation of how data points are related to each other and how they evolve over time. Line charts are also often used to compare multiple datasets or to show the relationship between variables",1
1B,https://homes.cs.washington.edu/~jheer//files/zoo/ex/time/stack.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Stacked Graph,"Total counts of unemployed persons per industry, 2000-2010.","A stacked graph, also known as a stacked bar graph or stacked column graph, is a type of data visualization that presents multiple variables or categories in a single bar or column. Each segment within the bar or column represents a proportion of the whole, and the segments are stacked on top of each other. This allows viewers to compare the total value of each category as well as the contribution of individual components to the whole. Stacked graphs are commonly used to illustrate changes over time or comparisons between groups while emphasizing the relative distribution of different elements within each group",1
1C,https://homes.cs.washington.edu/~jheer//files/zoo/ex/time/multiples.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Small Multiples,Unemployment rates of U.S. workers per industry.,"Small multiples, also known as trellis charts or lattice charts, are a series of similar graphs or charts that display different subsets of the same data. Each graph in the series typically represents a specific category, subgroup, or time period, allowing for easy comparison across the different subsets. Small multiples are characterized by their uniformity in terms of axes, scale, and layout, which facilitates quick and efficient visual comparison. This visualization technique is particularly effective for revealing patterns, trends, and variations in complex datasets, making it useful in fields such as data analysis, business intelligence, and scientific research.",1
1D,https://homes.cs.washington.edu/~jheer//files/zoo/ex/time/horizon.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,Horizon Graph,National unemployment rates as a percentage of the labor force.,"A horizon graph is a data visualization technique used to display time-series data in a compact and efficient manner. It is constructed by dividing the vertical axis into multiple bands or layers, each representing a range of values. The bands are stacked horizontally, with each subsequent band plotted on top of the previous one. The data is then represented by colored areas within each band, with the color intensity encoding the magnitude of the values",1
2A,https://homes.cs.washington.edu/~jheer//files/zoo/ex/stats/stem-and-leaf.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Stem-and-Leaf plot,"Completion percentages of a task group for individual workers (""Turkers"") on Amazon's Mechanical Turk. By plotting the data in this simple form, both the shape and content of its frequency distribution become apparent.","A stem-and-leaf plot that presents quantitative data in a structured format resembling a table or grid. It comprises vertical columns called stems on the left side, each representing a group of data points. To the right of the stems are the leaves, which represent individual data points within each group. Stems are arranged in ascending order from bottom to top, while leaves within each stem are arranged in ascending order from left to right. ",2
2B,https://homes.cs.washington.edu/~jheer//files/zoo/ex/stats/qqplot.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Q-Q plot,"Completion percentages of a task group for individual workers (""Turkers"") on Amazon's Mechanical Turk, by percentile, compared to theoretical distributions.","A Q-Q plot, or quantile-quantile plot, is a graphical method used to compare the distribution of a set of observed data with a specified theoretical distribution, such as the normal distribution. It is constructed with points plotted on a Cartesian plane, where the x-axis represents the quantiles of the theoretical distribution and the y-axis represents the quantiles of the observed data. If the points fall approximately along a straight line, known as the line of equality, it suggests that the data follows the specified distribution. Key visual elements include individual data points, the line of equality, and labels for the axes. ",2
2C,https://homes.cs.washington.edu/~jheer//files/zoo/ex/stats/splom.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Splom / scatterplot matrix,"Four dimensions of a database of cars plotted in a scatter plot matrix, with different colors to indicate the country of origin","This scatterplot matrix visually represents the relationships between four variables—Horsepower, Weight, Acceleration, and Displacement—across automobiles from Japan, the United States, and the European Union. Each cell in the matrix displays a scatterplot comparing two variables, with Japanese cars depicted in blue, American cars in red, and European cars in green. This comprehensive arrangement enables simultaneous examination of how each variable interacts with others within and across regions, facilitating the identification of potential trends, patterns, or differences in automotive characteristics between the three regions.",2
2D,https://homes.cs.washington.edu/~jheer//files/zoo/ex/stats/parallel.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,parallel Coordinates,A database of cars is plotted in seven coordinate dimensions; each path represents one car.,"This parallel coordinates graph presents a comprehensive visualization of automobile data across multiple attributes including cylinders, displacement, weight, horsepower, acceleration, miles per gallon (mpg), and year. Each attribute is represented by a parallel axis, while automobiles are depicted by lines that intersect these axes at specific points, indicating the values of each attribute for individual cars. These lines, typically differentiated by color or shade, allow for easy comparison of automotive characteristics. For instance, a car with higher horsepower would have its line positioned higher on the horsepower axis. The inclusion of the ""year"" attribute enables tracking changes in automobile features over time.",2
3A,https://homes.cs.washington.edu/~jheer//files/zoo/ex/maps/napoleon.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,flow map / mpa,Recreation of Charles Minard's flow map of Napoleon's March.,"This flow map depicts Napoleon's military campaign from Paris to Moscow, illustrating the movement of his army through Europe, including Germany, Poland, and ultimately Russia. Arrows trace the route taken, indicating the direction of movement and major events encountered along the way, such as battles and strategic decisions. The width of the arrows reflects fluctuations in army size and strength, while symbols mark significant milestones and obstacles faced during the campaign. Geographical features such as rivers, mountains, and cities provide context, highlighting the challenges confronted by Napoleon's forces during their march on Moscow.",3
3B,https://homes.cs.washington.edu/~jheer//files/zoo/ex/maps/choropleth.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Choropleth Map,"Present of population classified as ""Obese"" (Body Mass Index in excess of 30), by state. Press the ""Play"" button to watch the obesity epidemic evolve from 1995 onwards, or drag the slider to a particular year of interest.","This choropleth map visually represents the percentage of the population classified as 'Obese' (Body Mass Index exceeding 30) across different states. Each state is color-coded based on the prevalence of obesity, transitioning from green to red as the percentages increase, with darker shades indicating higher percentages.",3
